datum;begin;eind;gereden;;
05-Nov;61992;62059;67;Avans OWB;thuis
06-Nov;62059;62127;68;thuis;Avans OWB
06-Nov;62127;62193;66;Avans OWB;thuis
09-Nov;62193;62263;70;thuis;Avans den bosch kunst
09-Nov;62263;62332;69;Avans den bosch kunst;thuis
10-Nov;62332;62396;64;thuis;balkweg 1 den bosch udenhout garage vw
10-Nov;62396;62470;74;balkweg 1 den bosch udenhout garage vw;thuis
11-Nov;62470;62540;70;thuis;Avans den bosch kunst
11-Nov;62540;62609;69;Avans den bosch kunst;thuis
12-Nov;62609;62677;68;thuis;Avans den bosch kunst
12-Nov;62677;62746;69;Avans den bosch kunst;thuis
13-Nov;62746;62815;69;thuis;Avans den bosch kunst
13-Nov;62815;62885;70;Avans den bosch kunst;thuis
16-Nov;62885;62953;68;thuis;Avans OWB
16-Nov;62953;63024;71;Avans OWB;thuis
17-Nov;63024;63094;70;thuis;Avans den bosch kunst
17-Nov;63094;63164;70;Avans den bosch kunst;thuis
18-Nov;63164;63233;69;thuis;Avans OWB
18-Nov;63233;63300;67;Avans OWB;thuis
19-Nov;63300;63365;65;thuis;avans trz hervenplein
19-Nov;63365;63436;71;avans trz hervenplein;thuis
20-Nov;63436;63505;69;thuis;Avans den bosch kunst
20-Nov;63505;63574;69;Avans den bosch kunst;thuis
23-Nov;63574;63643;69;thuis;Avans den bosch kunst
23-Nov;63643;63712;69;Avans den bosch kunst;thuis
24-Nov;63712;63782;70;thuis;Avans den bosch kunst
24-Nov;63782;63850;68;Avans den bosch kunst;thuis
25-Nov;63850;63920;70;thuis;Avans den bosch kunst
25-Nov;63920;63988;68;Avans den bosch kunst;thuis
26-Nov;63988;64057;69;thuis;Avans den bosch kunst
26-Nov;64057;64126;69;Avans den bosch kunst;thuis
27-Nov;64126;64196;70;thuis;Avans den bosch kunst
27-Dec;64196;64264;68;Avans den bosch kunst;thuis
30-Nov;64264;64332;68;thuis;Avans OWB
30-Nov;64332;64399;67;Avans OWB;thuis
01-Dec;64399;64468;69;thuis;Avans OWB
01-Dec;64468;64538;70;Avans OWB;thuis
02-Dec;64538;64606;68;thuis;Avans den bosch kunst
02-Dec;64606;64673;67;Avans den bosch kunst;Thuis
03-Dec;64673;64740;67;Thuis;Avans OWB
03-Dec;64740;64807;67;Avans OWB;thuis
07-Dec;64807;64875;68;thuis;Avans OWB
07-Dec;64875;64943;68;Avans OWB;thuis
08-Dec;64943;65013;70;thuis;Avans den bosch kunst
08-Dec;65013;65086;73;Avans den bosch kunst;thuis
09-Dec;65086;65155;69;thuis;Avans den bosch kunst
09-Dec;65155;65224;69;Avans den bosch kunst;Thuis
10-Dec;65224;65292;68;Thuis;Avans OWB
10-Dec;65292;65362;70;Avans OWB;thuis
11-Dec;65362;65432;70;thuis;Avans den bosch kunst
11-Dec;65432;65501;69;Avans den bosch kunst;thuis
14-Dec;65501;65572;71;thuis;Avans den bosch kunst
14-Dec;65572;65640;68;Avans den bosch kunst;thuis
15-Dec;65640;65708;68;thuis;Avans OWB
15-Dec;65708;65775;67;Avans OWB;thuis
16-Dec;65775;65834;59;thuis;goodzo hq
16-Dec;65834;65893;59;goodzo hq;thuis
17-Dec;65893;65961;68;thuis;Avans OWB
17-Dec;65961;66031;70;Avans OWB;thuis
18-Dec;66031;66099;68;thuis;Avans OWB
18-Dec;66099;66169;70;Avans OWB;thuis
21-Dec;66169;66236;67;thuis;Avans OWB
21-Dec;66236;66303;67;Avans OWB;thuis
22-Dec;66303;66372;69;thuis;Avans OWB
22-Dec;66372;66443;71;Avans OWB;thuis
23-Dec;66443;66511;68;thuis;Avans OWB
23-Dec;66511;66578;67;Avans OWB;thuis
;66578;;-66578;thuis;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;0;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;0;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
;;;0;;
